Sho'rlanish darajasi,N-NO,Mexanik tarkibi,Karbonatlar,Gumus miqdori (%),Preparad nomi
Normal,Normal,34.0,10.6,3.95,PrepB
High,Normal,82.7,13.9,2.36,PrepA
High,Normal,82.3,3.5,6.06,PrepA
Low,Low,85.7,19.0,5.36,PrepD
High,Normal,84.5,9.4,1.27,PrepG
Normal,Normal,78.5,24.4,3.34,PrepB
Low,Normal,91.9,7.9,4.43,PrepE
Normal,Low,94.0,19.6,7.22,PrepC
Low,High,95.7,4.2,5.95,PrepA
Low,High,92.1,24.1,3.03,PrepH
Low,Low,62.9,2.6,1.2,PrepF
Normal,Low,84.2,19.8,7.37,PrepD
Normal,High,41.4,12.8,0.7,PrepH
Low,Low,78.9,21.2,3.16,PrepF
Low,Normal,69.7,1.9,6.14,PrepA
High,High,41.0,21.5,5.74,PrepE
High,Normal,31.9,7.5,5.0,PrepF
Normal,Normal,91.4,1.5,0.72,PrepA
Low,Low,39.6,1.1,1.47,PrepJ
High,Normal,40.5,9.8,2.05,PrepF
Normal,High,63.6,11.1,1.05,PrepD
High,Low,79.7,19.8,1.19,PrepG
Normal,High,31.8,3.9,0.85,PrepC
High,Normal,32.8,15.3,7.26,PrepG
Low,Low,68.5,17.7,3.59,PrepC
Low,Normal,79.0,3.1,4.73,PrepD
High,Normal,41.7,16.1,3.61,PrepA
Low,Normal,39.8,15.4,1.12,PrepC
Normal,Normal,88.1,11.5,0.74,PrepI
High,Normal,72.2,2.4,2.13,PrepC
Normal,Normal,35.3,13.6,2.44,PrepD
Normal,Low,47.0,20.5,3.36,PrepA
Low,Low,73.3,6.1,2.74,PrepD
High,Normal,58.2,21.2,0.55,PrepA
Normal,Normal,33.6,1.7,6.67,PrepE
High,High,51.4,1.8,4.03,PrepC
Low,Normal,78.0,19.2,3.92,PrepC
Normal,Low,68.6,1.6,6.77,PrepH
High,Low,61.7,18.5,4.78,PrepD
High,Normal,57.8,16.0,6.75,PrepB
Low,High,45.0,15.6,5.64,PrepD
High,Low,98.8,12.7,3.06,PrepF
Normal,Low,39.3,11.0,6.19,PrepD
Low,Low,53.3,5.0,7.09,PrepG
Low,High,43.9,16.1,4.71,PrepC
Normal,Low,90.7,13.4,5.94,PrepA
Low,Normal,81.5,20.0,1.35,PrepF
High,Low,85.6,23.5,6.54,PrepC
Normal,Low,41.1,22.1,7.59,PrepH
Low,Normal,46.1,22.0,1.14,PrepB
Normal,High,48.6,1.4,4.97,PrepJ
High,Low,30.8,11.6,4.79,PrepG
Low,Normal,94.6,16.2,5.54,PrepE
High,Low,32.5,9.7,6.65,PrepJ
Low,Low,35.9,6.6,6.15,PrepB
High,Low,75.5,8.2,2.3,PrepH
High,Low,83.1,4.5,4.34,PrepJ
High,Normal,68.5,7.8,4.32,PrepA
Low,High,43.6,2.9,7.57,PrepI
Low,Normal,71.1,4.1,2.73,PrepD
Normal,High,83.2,6.3,3.29,PrepB
High,Normal,98.3,7.4,5.89,PrepC
Low,Normal,98.9,14.3,5.82,PrepJ
Low,Low,45.4,3.6,5.45,PrepH
Low,Normal,43.5,1.2,3.01,PrepF
Normal,Low,80.0,16.7,7.24,PrepC
High,High,53.9,14.2,4.68,PrepF
Normal,High,57.1,4.9,1.26,PrepB
Low,Normal,47.2,25.0,6.96,PrepE
High,Normal,62.1,8.9,3.31,PrepI
Normal,High,96.4,18.4,2.99,PrepF
Low,High,53.3,7.7,5.14,PrepH
Low,Low,81.9,3.0,6.21,PrepF
Low,Normal,84.0,9.3,1.71,PrepA
High,Normal,85.8,3.3,7.69,PrepH
Low,High,60.7,24.4,4.25,PrepE
Low,Normal,95.6,19.6,7.04,PrepI
High,Low,50.8,3.6,5.89,PrepD
Low,Normal,68.2,20.5,3.35,PrepJ
Normal,Normal,85.6,21.9,5.29,PrepC
High,High,63.2,15.3,5.34,PrepC
Low,Low,40.0,14.5,4.09,PrepD
High,Low,53.2,1.6,2.95,PrepG
Normal,Low,81.6,1.7,4.24,PrepD
Normal,High,47.6,15.6,7.55,PrepE
High,High,75.2,4.5,7.95,PrepE
Normal,High,42.0,13.7,1.95,PrepE
Normal,Normal,35.9,8.6,4.74,PrepJ
High,High,63.9,4.4,2.75,PrepD
Low,High,30.6,7.2,2.93,PrepB
Normal,Low,43.8,7.0,5.19,PrepJ
Normal,Low,51.1,12.0,5.85,PrepG
High,High,56.2,18.3,1.05,PrepE
Normal,Low,94.8,22.0,4.27,PrepB
Normal,High,77.2,23.6,6.55,PrepH
Low,Normal,61.5,17.5,5.94,PrepI
Low,High,37.0,22.9,6.7,PrepE
Normal,Low,88.3,19.9,0.59,PrepE
Low,High,32.8,20.3,7.68,PrepG
High,Normal,68.0,24.7,5.8,PrepA
High,Low,69.5,1.2,0.58,PrepI
Low,Normal,97.0,16.1,3.6,PrepD
Low,High,54.3,9.3,2.09,PrepA
High,Normal,84.3,21.7,7.72,PrepH
High,Low,48.4,10.1,4.86,PrepC
Normal,Normal,37.8,23.9,3.53,PrepH
Low,Normal,49.1,20.2,0.94,PrepF
High,High,86.3,23.5,0.68,PrepB
High,Normal,92.3,6.1,2.07,PrepB
Normal,Low,33.8,3.1,6.03,PrepF
Low,High,74.8,12.8,2.44,PrepA
High,Normal,97.2,21.2,7.51,PrepI
Low,High,58.4,9.1,5.71,PrepJ
High,Normal,45.8,4.8,6.74,PrepG
High,High,30.0,22.1,1.24,PrepH
Normal,Normal,94.9,23.1,5.78,PrepH
High,Low,60.9,16.7,4.65,PrepC
Low,Normal,85.3,15.2,7.95,PrepG
Normal,Low,90.0,24.3,2.61,PrepD
High,High,40.8,7.4,1.79,PrepE
Low,Normal,91.8,16.8,1.04,PrepF
Normal,Normal,52.2,1.9,0.55,PrepC
Low,High,93.5,23.6,7.56,PrepF
Normal,Low,68.8,2.1,3.4,PrepB
High,High,63.9,1.3,6.39,PrepE
Low,Low,67.2,18.5,1.83,PrepH
Normal,Low,84.1,8.6,1.24,PrepH
Normal,High,86.0,10.9,4.9,PrepE
Normal,High,49.5,8.2,1.9,PrepC
High,Normal,86.2,18.5,2.57,PrepJ
High,Low,81.4,19.3,3.28,PrepJ
Normal,Normal,45.9,7.9,3.74,PrepD
Normal,High,45.1,23.1,1.35,PrepC
High,High,79.5,12.7,7.18,PrepB
Low,Low,63.1,13.9,4.36,PrepH
Normal,Low,35.9,8.1,7.44,PrepE
Normal,Low,39.5,5.8,5.02,PrepJ
High,High,84.7,9.5,3.46,PrepB
Low,Low,71.8,4.4,5.41,PrepE
Low,Normal,98.5,3.2,5.8,PrepG
High,High,46.2,19.5,7.34,PrepA
High,Normal,89.4,21.5,6.94,PrepB
Low,High,81.9,24.7,5.72,PrepD
Low,Low,75.7,8.9,6.09,PrepF
Normal,High,37.7,1.0,6.56,PrepI
High,Normal,57.8,24.6,7.65,PrepI
High,Normal,36.3,9.7,4.26,PrepC
Normal,Low,60.2,11.5,7.35,PrepD
High,Normal,32.8,8.9,2.72,PrepF
High,Low,96.3,13.7,3.93,PrepB
Low,High,95.2,24.6,2.36,PrepB
High,Normal,77.6,11.2,4.13,PrepF
Normal,Low,35.8,23.1,5.75,PrepH
Normal,Normal,91.2,17.8,2.59,PrepB
High,Normal,89.8,3.3,4.11,PrepB
High,High,69.4,1.8,4.59,PrepA
Normal,Normal,75.8,1.1,7.61,PrepB
Low,High,86.7,11.8,3.18,PrepB
Normal,High,67.5,22.2,1.78,PrepH
Low,High,41.1,6.5,1.92,PrepI
Normal,Normal,49.4,24.7,5.04,PrepG
High,Normal,95.9,7.0,6.19,PrepI
Normal,Low,56.5,7.3,1.5,PrepF
Low,High,48.2,22.0,7.85,PrepB
Normal,Normal,75.4,16.3,1.21,PrepH
High,Normal,46.5,10.5,3.38,PrepF
Low,Low,37.8,18.4,3.21,PrepJ
Low,Low,47.8,21.2,3.19,PrepH
Normal,Normal,96.0,6.5,4.78,PrepJ
High,Low,42.4,23.6,5.12,PrepA
Low,High,71.0,13.0,3.03,PrepA
Normal,Normal,69.9,12.1,7.2,PrepF
Normal,High,88.4,8.3,3.22,PrepD
Normal,Normal,81.1,10.0,5.87,PrepB
High,High,50.1,14.9,2.7,PrepF
Low,Low,33.1,13.4,7.4,PrepA
Normal,High,47.3,18.0,0.58,PrepA
High,Low,67.3,9.9,7.75,PrepF
High,High,92.9,2.2,4.8,PrepD
High,Normal,34.0,1.4,3.33,PrepC
High,Low,59.9,12.9,4.65,PrepE
Normal,Normal,89.7,16.3,4.9,PrepI
High,Low,40.5,16.7,5.25,PrepC
Normal,Low,55.0,5.5,6.09,PrepA
Low,High,36.9,19.3,7.94,PrepC
High,Normal,47.0,14.4,1.25,PrepI
High,Normal,82.7,8.3,6.8,PrepH
Normal,Normal,58.5,17.0,6.84,PrepI
High,Low,54.9,9.9,6.81,PrepE
Normal,High,64.2,21.2,4.84,PrepB
High,Normal,83.7,13.9,2.57,PrepA
Normal,High,74.7,4.0,3.09,PrepD
Normal,Normal,57.4,3.6,2.48,PrepC
High,High,37.4,3.1,2.48,PrepD
High,Normal,40.5,13.1,3.52,PrepC
Low,Low,93.5,17.2,6.86,PrepF
Normal,Low,98.0,5.0,5.63,PrepB
Low,High,51.3,16.2,6.24,PrepD
Normal,Low,75.8,24.6,0.58,PrepA
Normal,High,90.7,24.4,1.92,PrepI
High,Low,38.4,3.9,4.0,PrepJ
Low,Low,59.4,7.7,7.21,PrepD
Low,Low,95.3,10.5,1.88,PrepG
Normal,High,70.3,22.5,7.14,PrepH
Normal,Normal,51.4,9.4,4.65,PrepH
Normal,Low,33.8,1.7,7.31,PrepC
Low,High,55.1,13.8,4.01,PrepI
High,High,60.9,15.7,0.88,PrepA
Low,High,66.0,2.9,5.41,PrepG
Normal,Low,74.8,12.1,2.15,PrepI
High,Normal,62.9,18.1,7.99,PrepC
Low,Low,71.2,8.1,2.45,PrepJ
High,High,38.9,19.5,0.62,PrepH
High,High,55.3,12.0,1.33,PrepD
Low,High,72.7,21.2,5.44,PrepJ
High,Normal,37.4,3.9,2.25,PrepF
Normal,High,86.8,6.4,7.14,PrepF
Normal,Low,94.6,5.1,0.56,PrepF
Normal,Normal,48.0,19.5,0.5,PrepJ
Low,High,33.0,15.5,2.61,PrepG
Normal,High,73.9,4.3,7.86,PrepD
High,High,96.7,5.5,2.8,PrepC
High,Normal,91.6,6.7,7.0,PrepG
Low,Normal,67.9,10.4,6.22,PrepG
High,Low,41.3,3.8,4.07,PrepG
High,High,34.8,8.8,4.15,PrepF
Normal,Normal,52.9,20.4,4.99,PrepE
High,Normal,90.6,19.1,6.25,PrepJ
Low,Low,33.6,8.9,7.5,PrepJ
Low,High,89.0,3.5,7.8,PrepC
Low,Normal,46.8,15.9,7.82,PrepA
Normal,Low,41.9,5.4,6.57,PrepF
High,Normal,69.3,22.9,5.5,PrepC
Low,Low,65.4,23.9,4.56,PrepB
Normal,Normal,97.3,4.5,2.74,PrepF
High,Normal,77.3,7.8,2.24,PrepA
Normal,Normal,81.2,10.0,5.59,PrepJ
High,Low,68.4,18.3,6.45,PrepG
High,Normal,52.3,13.9,5.47,PrepD
Normal,High,68.9,12.3,3.72,PrepI
Normal,Normal,87.7,19.5,0.98,PrepC
High,Normal,89.7,3.3,6.7,PrepI
Low,Normal,47.0,7.2,6.45,PrepG
Low,Low,79.2,8.6,7.43,PrepD
Normal,Low,63.7,24.6,2.44,PrepB
Normal,High,40.0,21.1,3.0,PrepI
Normal,Low,85.1,6.5,6.14,PrepA
Normal,Low,64.7,7.4,5.42,PrepE
High,High,84.7,13.5,2.01,PrepC
Low,Normal,36.4,12.8,3.56,PrepB
High,Low,80.0,7.5,6.01,PrepE
Low,High,93.0,7.1,7.43,PrepC
High,Low,38.6,4.1,6.17,PrepA
Low,High,66.8,12.2,7.37,PrepF
Normal,Normal,98.0,5.6,3.45,PrepC
High,Low,87.6,4.5,6.67,PrepA
Normal,High,31.9,2.5,3.98,PrepC
Normal,Normal,31.8,11.9,3.77,PrepC
Low,High,66.1,7.3,5.64,PrepE
High,High,96.1,14.1,1.1,PrepJ
Low,High,90.0,5.4,4.81,PrepH
High,Low,74.8,8.3,4.68,PrepI
Low,Low,75.8,10.7,5.51,PrepF
High,Normal,49.5,19.9,5.55,PrepI
Normal,High,48.1,10.9,5.81,PrepA
Normal,Low,82.3,3.7,1.8,PrepH
Low,Normal,63.5,10.9,4.58,PrepI
Low,Low,48.9,19.8,3.71,PrepJ
High,Normal,97.3,21.0,7.81,PrepB
High,Low,73.4,18.3,3.95,PrepB
High,High,93.8,14.6,7.21,PrepG
Low,High,43.0,9.7,5.93,PrepF
Low,Low,97.5,2.1,4.58,PrepI
High,Normal,98.8,7.9,7.37,PrepC
Normal,High,35.5,18.7,2.44,PrepJ
High,Normal,83.1,10.7,3.84,PrepH
Low,Low,63.8,21.1,3.67,PrepJ
Low,Normal,66.5,20.1,4.34,PrepB
Low,Normal,85.6,18.3,1.61,PrepC
Normal,Low,43.6,17.8,7.76,PrepA
Low,High,45.6,10.4,2.4,PrepB
Low,Normal,50.7,17.0,5.46,PrepJ
Normal,High,45.3,9.2,0.75,PrepG
High,High,72.5,20.2,1.86,PrepJ
Low,Normal,87.1,16.9,0.62,PrepF
Normal,Normal,81.8,8.5,4.63,PrepC
Low,Low,58.3,20.8,3.67,PrepE
Low,Normal,44.1,24.3,3.08,PrepB
High,Normal,94.8,20.2,7.37,PrepA
Normal,Normal,57.6,21.7,6.9,PrepG
Low,High,75.7,3.7,2.99,PrepG
High,High,48.7,11.6,5.87,PrepI
Low,Low,95.8,5.2,7.65,PrepC
Normal,Low,54.9,13.4,5.55,PrepE
Low,Low,60.1,15.5,5.79,PrepC
Normal,Normal,79.9,23.6,7.49,PrepH
Normal,Low,87.3,15.5,1.61,PrepB
High,Normal,98.2,21.3,0.96,PrepI
High,Low,39.7,8.2,2.16,PrepD
Normal,Low,78.7,17.4,2.92,PrepB
High,Low,37.9,11.6,7.45,PrepC
High,High,85.5,10.5,6.66,PrepJ
High,Normal,81.5,1.6,6.67,PrepH
Low,Low,79.8,2.3,4.11,PrepD
Low,Low,33.0,10.0,2.3,PrepJ
Normal,Normal,90.1,5.9,6.06,PrepE
Low,High,32.1,18.3,5.5,PrepJ
High,High,76.0,8.8,3.57,PrepB
Normal,High,55.1,24.4,4.62,PrepD
Normal,Low,97.9,9.2,3.74,PrepD
Low,Low,43.4,13.1,2.63,PrepJ
Low,High,96.8,17.7,7.71,PrepG
High,Normal,30.8,6.9,3.39,PrepD
High,Normal,70.7,14.3,1.6,PrepI
Normal,Low,31.4,8.7,6.93,PrepA
High,High,83.7,11.5,7.89,PrepG
Normal,Low,55.9,5.1,6.17,PrepB
Normal,High,73.9,12.6,4.99,PrepE
High,Normal,77.3,16.4,7.8,PrepG
Low,High,81.8,1.6,7.61,PrepD
High,Low,40.3,21.1,2.44,PrepE
Low,Low,66.0,1.2,3.07,PrepG
Normal,High,48.6,14.1,3.63,PrepI
Low,High,39.7,13.4,6.59,PrepE
High,High,67.2,6.9,5.82,PrepD
Low,Low,94.4,18.2,3.1,PrepF
Low,Normal,80.2,9.3,1.56,PrepC
High,Low,66.9,6.5,2.59,PrepJ
High,Normal,47.1,2.8,7.83,PrepC
Low,Low,77.5,9.1,7.18,PrepD
Normal,Normal,99.4,5.2,4.2,PrepH
Low,High,38.0,7.0,7.86,PrepF
Low,High,47.1,23.4,1.9,PrepG
Normal,Low,51.2,20.7,6.3,PrepH
Low,High,93.3,14.3,4.51,PrepJ
High,High,66.7,15.8,4.93,PrepC
Normal,High,74.2,17.0,3.67,PrepC
Low,High,93.4,6.4,7.85,PrepF
Normal,High,79.8,17.5,5.21,PrepB
Low,High,56.3,4.0,4.72,PrepF
Low,High,68.4,3.2,7.16,PrepC
Normal,Normal,40.6,3.6,7.64,PrepD
Normal,Low,75.8,11.5,2.22,PrepJ
High,High,92.0,17.8,6.35,PrepA
Low,High,50.0,18.5,3.03,PrepH
Low,Low,40.3,11.8,2.04,PrepA
Normal,Normal,89.8,12.1,3.7,PrepA
High,Low,36.0,6.2,1.23,PrepB
Normal,Normal,37.2,5.5,2.93,PrepJ
Normal,Normal,36.5,18.5,2.24,PrepA
Low,High,66.0,9.9,1.02,PrepG
High,Normal,74.6,12.4,5.75,PrepI
Normal,High,34.0,1.9,1.88,PrepI
Normal,Normal,89.5,21.2,2.17,PrepA
High,Normal,49.2,17.1,6.41,PrepH
High,Low,72.4,22.9,5.94,PrepJ
High,High,87.7,9.3,2.95,PrepG
High,Low,95.8,9.8,7.16,PrepD
High,High,43.9,14.7,7.79,PrepA
High,Low,48.3,4.2,3.6,PrepE
High,Low,59.7,9.0,0.62,PrepA
Low,Low,30.6,23.2,4.67,PrepA
High,Normal,45.2,1.2,6.05,PrepB
Low,Normal,63.0,2.4,6.51,PrepA
Low,Normal,95.0,21.0,4.59,PrepA
High,High,62.4,19.1,4.66,PrepH
High,Normal,83.1,9.8,4.21,PrepH
Normal,Low,80.3,14.4,1.2,PrepA
High,Low,30.8,20.0,6.83,PrepB
High,Low,82.0,19.4,0.62,PrepJ
Low,Low,61.8,21.0,7.46,PrepC
Normal,High,83.9,17.7,6.48,PrepA
Low,Low,69.2,11.8,6.29,PrepJ
High,Normal,45.4,7.1,3.57,PrepC
Low,Low,71.5,10.1,7.64,PrepB
Normal,Normal,42.9,11.7,0.78,PrepC
High,High,69.3,15.5,2.32,PrepH
