Azot (N),Fosfor (P),Kaliy (K),Kalsiy (Ca),Magniy (Mg),Temir (Fe),Rux (Zn),Mis (Cu),Organik modda (%),Gumus (%)
9.18,1.5,7.74,19.43,4.8,0.83,0.49,0.28,8.52,4.23
2.01,1.31,4.41,22.17,2.3,0.62,0.09,0.23,9.48,1.03
8.31,4.21,9.25,22.39,2.21,0.88,0.21,0.1,6.7,4.24
1.69,12.27,12.21,29.16,3.96,0.11,0.12,0.19,7.96,4.84
1.71,1.7,2.44,23.59,3.12,0.36,0.16,0.07,8.33,1.86
2.31,4.24,14.39,26.95,4.04,0.92,0.23,0.19,8.57,3.54
2.24,0.81,13.98,18.79,4.6,0.21,0.07,0.14,9.82,0.73
7.15,4.36,13.1,10.03,2.13,0.14,0.41,0.09,5.41,2.77
1.92,19.23,12.67,11.71,2.41,0.5,0.47,0.1,5.51,1.96
7.7,6.85,12.13,28.97,3.41,0.76,0.41,0.17,8.09,4.96
8.62,15.03,2.11,26.4,3.0,0.57,0.22,0.07,9.15,1.68
7.47,9.0,7.33,8.19,2.63,0.83,0.15,0.11,3.72,2.36
3.02,10.54,9.58,14.09,1.51,0.42,0.14,0.06,8.83,1.85
2.92,13.84,3.54,15.03,2.04,0.28,0.04,0.18,6.26,1.44
4.93,4.78,9.34,14.95,4.72,0.29,0.45,0.07,8.3,3.45
5.59,6.83,12.26,4.71,1.13,0.53,0.05,0.01,8.15,3.82
8.65,19.9,12.34,29.47,1.65,0.3,0.15,0.25,7.0,1.52
3.53,18.56,11.42,29.83,4.07,0.94,0.1,0.28,8.44,2.81
4.53,1.21,12.35,26.89,3.82,0.18,0.44,0.22,9.71,4.17
6.03,13.64,7.97,22.5,2.82,0.32,0.12,0.15,4.45,3.5
9.58,9.42,10.78,6.58,4.63,0.96,0.33,0.17,6.28,4.29
0.95,11.42,5.73,16.53,3.93,0.82,0.05,0.16,5.08,2.34
8.29,4.42,6.23,3.09,4.56,0.54,0.32,0.03,9.46,2.47
5.49,18.66,7.64,11.88,4.21,0.1,0.49,0.11,8.78,3.29
2.26,12.05,4.95,27.48,1.96,0.68,0.31,0.21,5.11,2.4
7.27,7.9,11.78,21.71,1.26,0.42,0.38,0.02,2.14,3.93
3.69,6.53,5.54,17.92,3.85,0.16,0.05,0.14,1.76,3.11
4.36,14.09,13.31,26.39,2.92,0.42,0.02,0.03,4.76,3.05
6.88,13.94,2.82,25.87,3.99,0.03,0.38,0.09,2.53,3.87
6.61,1.54,12.1,4.99,2.84,0.85,0.41,0.3,6.51,4.64
0.21,16.12,7.83,18.23,4.58,0.64,0.01,0.03,6.09,2.1
5.83,15.22,9.57,9.48,4.56,0.44,0.49,0.27,4.46,4.81
2.16,9.96,8.39,29.95,2.07,0.95,0.2,0.06,7.74,4.87
1.36,3.4,8.14,1.46,0.49,0.92,0.31,0.13,4.31,1.16
9.04,4.33,6.69,16.7,0.96,0.14,0.35,0.02,8.29,1.57
2.77,7.49,3.61,0.66,0.47,0.87,0.24,0.07,1.83,4.76
9.04,9.42,13.94,16.49,4.07,0.01,0.43,0.22,2.61,3.83
3.36,3.33,1.05,24.38,2.9,0.25,0.15,0.03,3.76,0.55
1.11,2.57,2.41,7.61,2.54,0.59,0.18,0.07,2.53,2.38
5.22,17.94,7.08,21.73,1.56,0.38,0.08,0.09,2.06,2.1
6.18,1.26,1.74,22.13,4.68,0.3,0.28,0.17,6.0,1.77
3.93,4.56,4.2,10.56,1.16,0.33,0.43,0.23,6.74,2.09
9.06,12.81,6.21,25.65,1.16,0.97,0.45,0.13,6.49,3.89
4.22,16.23,10.73,18.85,1.79,0.25,0.47,0.09,6.02,3.25
8.09,13.25,2.44,20.62,3.18,0.67,0.26,0.09,1.4,1.9
3.34,11.83,5.57,11.56,0.52,0.27,0.17,0.08,9.32,1.56
2.55,12.78,9.45,28.04,4.9,0.66,0.46,0.23,7.94,2.31
3.82,0.84,1.09,18.61,0.39,0.05,0.28,0.28,6.74,4.46
3.56,6.74,5.83,18.23,1.1,0.45,0.24,0.2,5.79,1.54
1.73,3.24,2.63,27.29,4.25,0.17,0.1,0.14,7.81,0.93
5.83,5.15,2.57,3.46,2.52,0.95,0.48,0.21,4.46,4.3
8.26,2.16,9.96,4.31,0.58,0.51,0.47,0.21,5.58,4.39
0.81,1.19,5.2,28.62,2.78,0.83,0.38,0.24,6.87,4.49
2.11,6.31,6.31,5.14,1.05,0.97,0.41,0.15,8.25,2.96
7.17,11.39,13.36,9.43,4.36,0.94,0.04,0.12,5.57,2.07
3.02,3.19,4.38,4.4,1.18,0.8,0.27,0.04,2.5,1.7
3.09,11.61,7.12,6.51,4.15,0.67,0.26,0.13,1.02,2.12
8.48,12.35,6.88,6.3,1.03,0.81,0.46,0.09,3.49,3.54
0.81,19.02,1.47,28.86,2.88,0.17,0.4,0.27,9.17,3.55
8.33,13.63,5.49,20.37,4.25,0.24,0.24,0.24,7.73,3.21
4.54,19.24,12.46,23.59,0.2,0.91,0.08,0.08,1.91,3.86
2.06,4.7,12.81,21.42,4.7,0.37,0.22,0.21,4.14,0.57
1.13,6.87,2.33,17.44,1.53,0.07,0.11,0.05,2.72,4.01
8.49,9.59,8.37,24.14,0.44,0.51,0.26,0.09,3.06,1.13
1.0,2.44,4.46,1.39,2.1,0.76,0.49,0.18,8.39,2.17
7.35,5.04,14.53,4.11,1.42,0.84,0.19,0.29,3.8,4.34
8.87,12.82,13.64,26.46,0.12,0.09,0.25,0.2,8.09,2.04
9.99,15.53,4.49,11.58,3.67,0.85,0.11,0.24,3.61,3.0
1.82,8.62,4.1,23.78,3.98,0.02,0.43,0.1,4.73,3.1
8.55,7.51,14.59,3.93,2.91,0.4,0.48,0.28,9.85,2.53
7.17,8.6,6.82,19.63,3.8,0.52,0.24,0.22,1.51,4.84
5.16,11.09,12.81,5.9,3.04,0.66,0.07,0.19,6.5,0.97
7.46,18.96,1.76,19.45,4.93,0.51,0.45,0.13,6.56,3.09
2.15,12.45,14.59,9.9,4.7,0.94,0.27,0.2,5.8,1.39
4.14,11.35,14.31,23.56,1.87,0.86,0.03,0.26,6.73,2.62
0.6,16.47,1.9,23.85,2.54,0.98,0.13,0.14,5.42,1.17
6.94,9.7,7.62,3.11,3.28,0.03,0.44,0.26,3.03,2.33
5.69,2.21,3.27,1.88,1.15,0.32,0.31,0.17,9.72,4.5
4.81,11.98,4.55,23.33,0.67,0.11,0.21,0.15,9.62,1.23
8.16,14.37,13.45,23.75,4.23,0.79,0.23,0.11,7.93,4.1
0.5,13.16,11.45,16.68,2.33,0.56,0.31,0.25,9.62,2.6
0.13,15.1,2.49,7.61,2.32,0.46,0.26,0.15,4.63,3.11
9.88,14.13,4.76,2.91,2.2,0.36,0.2,0.23,2.43,4.28
2.68,1.36,1.41,9.08,0.73,0.67,0.28,0.05,6.0,1.29
8.87,11.21,7.98,18.94,2.27,0.23,0.18,0.09,4.0,4.32
0.71,2.96,12.37,19.79,2.66,0.17,0.08,0.28,2.84,1.62
0.92,8.23,6.21,10.76,3.75,0.21,0.09,0.16,1.62,1.82
3.16,0.79,5.89,26.92,1.91,0.11,0.06,0.05,8.52,3.94
2.47,17.03,9.55,2.08,0.71,0.21,0.22,0.25,6.58,1.25
4.16,0.84,14.34,17.05,4.73,0.59,0.23,0.13,4.29,0.74
9.44,8.23,7.44,6.0,2.26,0.79,0.36,0.21,7.19,3.57
6.65,5.98,8.55,18.96,4.6,0.71,0.22,0.25,8.79,3.2
4.88,2.53,3.4,19.84,0.26,1.0,0.21,0.26,7.59,3.52
8.86,4.13,10.1,8.21,3.19,0.41,0.43,0.21,4.1,1.23
6.54,16.66,6.94,4.2,0.9,0.04,0.11,0.1,1.4,3.76
6.69,15.49,6.08,13.87,2.08,0.33,0.29,0.07,8.57,1.97
2.71,5.18,6.89,1.59,0.56,0.37,0.06,0.26,8.97,1.6
9.1,9.68,9.26,3.69,4.62,0.59,0.29,0.23,1.9,4.74
6.43,11.71,5.63,22.94,4.03,0.02,0.26,0.24,9.54,4.24
1.24,12.12,10.4,14.28,2.77,0.59,0.13,0.12,5.81,3.77
9.38,5.93,1.66,21.3,0.24,0.19,0.34,0.2,2.83,1.05
0.59,19.03,13.57,7.37,1.39,0.94,0.2,0.12,7.05,3.04
3.87,13.23,12.8,3.02,3.69,0.34,0.14,0.1,5.94,3.84
9.98,1.8,7.82,13.69,4.81,0.02,0.14,0.25,9.51,4.95
5.42,2.48,8.7,6.94,1.58,0.16,0.03,0.14,8.87,1.94
4.66,13.69,3.4,24.62,4.64,0.31,0.25,0.1,5.9,4.68
6.21,19.67,12.96,26.2,3.87,0.01,0.08,0.15,4.04,4.36
7.15,7.31,1.09,7.96,1.4,0.74,0.07,0.17,2.86,3.75
0.5,5.22,4.0,7.2,2.41,0.37,0.08,0.17,1.96,1.33
2.4,1.25,6.7,25.35,0.44,0.5,0.48,0.12,1.22,4.2
0.64,16.14,5.42,22.34,3.37,0.58,0.29,0.24,1.1,3.37
1.7,9.95,13.48,15.49,4.26,0.2,0.21,0.23,5.66,0.89
2.33,13.43,1.17,8.84,2.49,0.88,0.3,0.03,6.15,3.08
1.27,7.0,2.78,26.49,2.17,0.01,0.12,0.03,5.54,1.72
1.52,8.77,9.78,8.35,2.01,0.76,0.3,0.24,6.99,3.44
7.33,7.78,7.75,23.11,1.87,0.52,0.09,0.04,3.01,4.38
5.57,3.53,12.22,25.23,1.33,0.6,0.09,0.26,4.05,2.54
3.52,0.89,5.56,13.02,0.64,0.43,0.48,0.28,8.87,2.52
7.89,10.8,10.68,20.26,3.19,0.58,0.46,0.04,2.19,3.08
2.27,11.75,1.53,3.39,0.25,0.87,0.49,0.23,1.42,3.76
3.39,8.29,12.06,18.65,1.89,0.17,0.48,0.07,4.22,1.92
9.4,3.82,6.51,4.16,4.6,0.62,0.48,0.05,8.12,3.16
3.97,18.7,5.58,1.62,1.13,0.83,0.03,0.18,6.79,1.84
7.6,1.82,8.41,27.98,2.68,0.55,0.4,0.03,2.24,2.63
0.19,19.11,2.22,14.94,4.41,0.99,0.14,0.04,7.1,3.63
9.16,10.09,2.89,29.23,4.87,0.63,0.46,0.06,2.68,4.97
7.98,2.22,8.12,27.93,3.12,0.23,0.29,0.13,5.2,2.38
8.98,1.98,14.21,17.35,2.43,0.92,0.42,0.29,8.96,3.65
9.44,17.39,11.66,19.21,2.2,0.13,0.29,0.26,3.72,1.75
3.5,6.64,2.09,15.83,4.34,0.12,0.31,0.06,4.19,0.98
4.57,11.19,2.71,23.9,1.32,0.82,0.08,0.17,2.98,3.03
1.1,5.73,3.18,11.66,0.51,0.67,0.35,0.1,3.39,1.3
0.73,13.73,11.25,1.54,1.53,0.16,0.09,0.27,1.93,2.69
1.16,2.0,7.98,24.47,0.23,0.36,0.04,0.17,2.38,2.03
3.03,13.77,3.76,8.56,0.48,0.57,0.3,0.15,2.87,2.83
2.09,1.19,5.38,19.4,1.22,0.98,0.16,0.19,6.13,4.58
1.85,3.2,5.46,24.48,2.74,0.19,0.16,0.14,4.59,4.84
5.81,2.8,2.35,11.97,3.82,0.9,0.08,0.25,6.6,0.73
4.58,5.18,4.49,20.74,2.67,0.7,0.47,0.05,9.53,0.81
1.07,19.09,2.99,23.38,4.38,0.08,0.05,0.29,5.01,3.55
3.41,13.42,9.52,9.49,2.75,0.96,0.26,0.21,9.22,1.09
8.52,9.16,9.41,12.17,4.23,0.66,0.42,0.24,4.93,2.99
9.93,12.45,12.54,17.94,0.88,0.58,0.34,0.11,3.63,3.73
4.38,8.78,10.22,6.11,0.44,0.61,0.19,0.17,2.28,2.51
4.48,16.26,12.12,25.98,3.94,0.95,0.35,0.13,2.75,4.96
4.91,9.74,8.51,6.33,4.7,0.24,0.09,0.07,3.19,4.54
0.24,0.57,2.1,13.31,1.03,0.55,0.1,0.08,5.69,3.17
5.64,11.84,12.63,2.02,4.94,0.6,0.19,0.18,7.51,1.63
0.3,3.08,4.87,11.47,1.44,0.74,0.49,0.26,4.72,2.05
5.32,6.75,4.1,22.49,2.31,0.2,0.14,0.24,4.51,1.98
0.92,2.8,2.61,27.27,4.92,0.84,0.31,0.06,3.89,1.06
8.71,8.32,6.8,9.54,4.88,0.65,0.08,0.02,1.77,2.01
8.9,12.63,8.36,23.82,3.86,0.73,0.08,0.13,8.29,2.74
8.43,14.89,1.79,15.48,1.09,0.22,0.42,0.06,3.1,3.81
6.29,9.42,11.94,22.19,1.23,0.21,0.39,0.14,5.89,0.9
